"Date_Time","Time","Sensor","Count"
2016-01-01 00:00:00,0,"Bourke Street Mall (North)",461
2016-01-01 00:00:00,0,"Melbourne Central",2829
2016-01-01 01:00:00,1,"Bourke Street Mall (North)",430
2016-01-01 01:00:00,1,"Melbourne Central",2905
2016-01-01 02:00:00,2,"Bourke Street Mall (North)",195
2016-01-01 02:00:00,2,"Melbourne Central",1733
2016-01-01 03:00:00,3,"Bourke Street Mall (North)",161
2016-01-01 03:00:00,3,"Melbourne Central",1214
2016-01-01 04:00:00,4,"Bourke Street Mall (North)",90
2016-01-01 04:00:00,4,"Melbourne Central",357
2016-01-01 05:00:00,5,"Bourke Street Mall (North)",54
2016-01-01 05:00:00,5,"Melbourne Central",179
2016-01-01 06:00:00,6,"Bourke Street Mall (North)",55
2016-01-01 06:00:00,6,"Melbourne Central",160
2016-01-01 07:00:00,7,"Bourke Street Mall (North)",38
2016-01-01 07:00:00,7,"Melbourne Central",166
2016-01-01 08:00:00,8,"Bourke Street Mall (North)",68
2016-01-01 08:00:00,8,"Melbourne Central",190
2016-01-01 09:00:00,9,"Bourke Street Mall (North)",214
2016-01-01 09:00:00,9,"Melbourne Central",398
2016-01-01 10:00:00,10,"Bourke Street Mall (North)",492
2016-01-01 10:00:00,10,"Melbourne Central",601
2016-01-01 11:00:00,11,"Bourke Street Mall (North)",803
2016-01-01 11:00:00,11,"Melbourne Central",710
2016-01-01 12:00:00,12,"Bourke Street Mall (North)",945
2016-01-01 12:00:00,12,"Melbourne Central",1166
2016-01-01 13:00:00,13,"Bourke Street Mall (North)",1130
2016-01-01 13:00:00,13,"Melbourne Central",1617
2016-01-01 14:00:00,14,"Bourke Street Mall (North)",1240
2016-01-01 14:00:00,14,"Melbourne Central",1698
2016-01-01 15:00:00,15,"Bourke Street Mall (North)",1292
2016-01-01 15:00:00,15,"Melbourne Central",1787
2016-01-01 16:00:00,16,"Bourke Street Mall (North)",1164
2016-01-01 16:00:00,16,"Melbourne Central",1758
2016-01-01 17:00:00,17,"Bourke Street Mall (North)",983
2016-01-01 17:00:00,17,"Melbourne Central",1666
2016-01-01 18:00:00,18,"Bourke Street Mall (North)",861
2016-01-01 18:00:00,18,"Melbourne Central",2025
2016-01-01 19:00:00,19,"Bourke Street Mall (North)",757
2016-01-01 19:00:00,19,"Melbourne Central",2111
2016-01-01 20:00:00,20,"Bourke Street Mall (North)",478
2016-01-01 20:00:00,20,"Melbourne Central",1802
2016-01-01 21:00:00,21,"Bourke Street Mall (North)",287
2016-01-01 21:00:00,21,"Melbourne Central",1665
2016-01-01 22:00:00,22,"Bourke Street Mall (North)",172
2016-01-01 22:00:00,22,"Melbourne Central",1140
2016-01-01 23:00:00,23,"Bourke Street Mall (North)",103
2016-01-01 23:00:00,23,"Melbourne Central",891
2016-01-02 00:00:00,0,"Bourke Street Mall (North)",43
2016-01-02 00:00:00,0,"Melbourne Central",472
2016-01-02 01:00:00,1,"Bourke Street Mall (North)",37
2016-01-02 01:00:00,1,"Melbourne Central",255
2016-01-02 02:00:00,2,"Bourke Street Mall (North)",31
2016-01-02 02:00:00,2,"Melbourne Central",123
2016-01-02 03:00:00,3,"Bourke Street Mall (North)",14
2016-01-02 03:00:00,3,"Melbourne Central",81
2016-01-02 04:00:00,4,"Bourke Street Mall (North)",11
2016-01-02 04:00:00,4,"Melbourne Central",35
2016-01-02 05:00:00,5,"Bourke Street Mall (North)",3
2016-01-02 05:00:00,5,"Melbourne Central",89
2016-01-02 06:00:00,6,"Bourke Street Mall (North)",21
2016-01-02 06:00:00,6,"Melbourne Central",80
2016-01-02 07:00:00,7,"Bourke Street Mall (North)",50
2016-01-02 07:00:00,7,"Melbourne Central",178
2016-01-02 08:00:00,8,"Bourke Street Mall (North)",160
2016-01-02 08:00:00,8,"Melbourne Central",247
2016-01-02 09:00:00,9,"Bourke Street Mall (North)",311
2016-01-02 09:00:00,9,"Melbourne Central",422
