Entity,Code,Year,"Pollution caused mortality rate"
Afghanistan,AFG,2019,266
Algeria,DZA,2019,50
Angola,AGO,2019,143
Antigua and Barbuda,ATG,2019,19
Argentina,ARG,2019,30
Armenia,ARM,2019,75
Australia,AUS,2019,10
Australia and New Zealand (UN),,2019,10
Austria,AUT,2019,17
Azerbaijan,AZE,2019,125
Bahamas,BHS,2019,10
Bahrain,BHR,2019,68
Bangladesh,BGD,2019,144
Barbados,BRB,2019,19
Belarus,BLR,2019,70
Belgium,BEL,2019,15
Belize,BLZ,2019,41
Benin,BEN,2019,202
Bhutan,BTN,2019,94
Bolivia,BOL,2019,77
Bosnia and Herzegovina,BIH,2019,114
Botswana,BWA,2019,141
Brazil,BRA,2019,29
Brunei,BRN,2019,20
Bulgaria,BGR,2019,63
Burkina Faso,BFA,2019,201
Burundi,BDI,2019,206
Cambodia,KHM,2019,163
Cameroon,CMR,2019,207
Canada,CAN,2019,8
Cape Verde,CPV,2019,91
Central African Republic,CAF,2019,305
Central and Southern Asia (UN),,2019,144
Chad,TCD,2019,227
Chile,CHL,2019,18
China,CHN,2019,95
Colombia,COL,2019,31
Comoros,COM,2019,165
Congo,COG,2019,170
Costa Rica,CRI,2019,18
Cote d'Ivoire,CIV,2019,187
Croatia,HRV,2019,31
Cuba,CUB,2019,42
Cyprus,CYP,2019,16
Czechia,CZE,2019,33
Democratic Republic of Congo,COD,2019,210
Denmark,DNK,2019,13
Djibouti,DJI,2019,178
Dominican Republic,DOM,2019,41
East Timor,TLS,2019,186
Eastern and South-Eastern Asia (UN),,2019,97
Ecuador,ECU,2019,28
Egypt,EGY,2019,106
El Salvador,SLV,2019,40
Equatorial Guinea,GNQ,2019,166
Eritrea,ERI,2019,237
Estonia,EST,2019,13
Eswatini,SWZ,2019,174
Ethiopia,ETH,2019,142
Europe (UN),,2019,35
Europe and Northern America (UN),,2019,28
Fiji,FJI,2019,119
Finland,FIN,2019,7
France,FRA,2019,10
Gabon,GAB,2019,78
Gambia,GMB,2019,220
Georgia,GEO,2019,93
Germany,DEU,2019,15
Ghana,GHA,2019,194
Greece,GRC,2019,23
Grenada,GRD,2019,47
Guatemala,GTM,2019,91
Guinea,GIN,2019,238
Guinea-Bissau,GNB,2019,229
Guyana,GUY,2019,96
Haiti,HTI,2019,206
Honduras,HND,2019,112
Hungary,HUN,2019,42
Iceland,ISL,2019,8
India,IND,2019,139
Indonesia,IDN,2019,96
Iran,IRN,2019,58
Iraq,IRQ,2019,90
Ireland,IRL,2019,13
Israel,ISR,2019,15
Italy,ITA,2019,15
Jamaica,JAM,2019,36
Japan,JPN,2019,12
Jordan,JOR,2019,39
Kazakhstan,KAZ,2019,83
Kenya,KEN,2019,132
Kiribati,KIR,2019,247
Kuwait,KWT,2019,45
Kyrgyzstan,KGZ,2019,125
Laos,LAO,2019,195
Latin America and the Caribbean (UN),,2019,41
Latvia,LVA,2019,40
Least Developed Countries (LDCs),,2019,88
Lebanon,LBN,2019,59
Lesotho,LSO,2019,288
Liberia,LBR,2019,153
Libya,LBY,2019,54
Lithuania,LTU,2019,39
Luxembourg,LUX,2019,13
Madagascar,MDG,2019,208
Malawi,MWI,2019,149
Malaysia,MYS,2019,76
Maldives,MDV,2019,32
Mali,MLI,2019,167
Malta,MLT,2019,21
Mauritania,MRT,2019,128
Mauritius,MUS,2019,35
Mexico,MEX,2019,45
Micronesia (country),FSM,2019,254
Moldova,MDA,2019,69
Mongolia,MNG,2019,215
Montenegro,MNE,2019,115
Morocco,MAR,2019,67
Mozambique,MOZ,2019,228
Myanmar,MMR,2019,184
Namibia,NAM,2019,142
Nepal,NPL,2019,178
Netherlands,NLD,2019,13
New Zealand,NZL,2019,12
Nicaragua,NIC,2019,84
Niger,NER,2019,213
Nigeria,NGA,2019,165
North Korea,PRK,2019,213
North Macedonia,MKD,2019,96
Northern Africa (UN),,2019,93
Northern Africa and Western Asia (UN),,2019,87
Northern America (UN),,2019,14
Norway,NOR,2019,8
Oceania (UN),,2019,59
Oman,OMN,2019,104
Pakistan,PAK,2019,192
Panama,PAN,2019,27
Papua New Guinea,PNG,2019,190
Paraguay,PRY,2019,56
Peru,PER,2019,38
Philippines,PHL,2019,203
Poland,POL,2019,41
Portugal,PRT,2019,10
Qatar,QAT,2019,91
Romania,ROU,2019,68
Russia,RUS,2019,67
Rwanda,RWA,2019,166
Saint Lucia,LCA,2019,28
Saint Vincent and the Grenadines,VCT,2019,34
Samoa,WSM,2019,145
Sao Tome and Principe,STP,2019,225
Saudi Arabia,SAU,2019,91
Senegal,SEN,2019,146
Serbia,SRB,2019,72
Seychelles,SYC,2019,43
Sierra Leone,SLE,2019,239
Singapore,SGP,2019,23
Slovakia,SVK,2019,30
Slovenia,SVN,2019,19
Small Island Developing States (SIDS),,2019,78
Solomon Islands,SLB,2019,281
Somalia,SOM,2019,238
South Africa,ZAF,2019,75
South Korea,KOR,2019,19
South Sudan,SSD,2019,134
Spain,ESP,2019,10
Sri Lanka,LKA,2019,92
Sub-Saharan Africa (UN),,2019,169
Sudan,SDN,2019,145
Suriname,SUR,2019,51
Sweden,SWE,2019,8
Switzerland,CHE,2019,10
Syria,SYR,2019,95
Tajikistan,TJK,2019,204
Tanzania,TZA,2019,128
Thailand,THA,2019,46
Togo,TGO,2019,223
Tonga,TON,2019,52
Trinidad and Tobago,TTO,2019,20
Tunisia,TUN,2019,56
Turkey,TUR,2019,46
Turkmenistan,TKM,2019,88
Uganda,UGA,2019,163
Ukraine,UKR,2019,79
United Arab Emirates,ARE,2019,70
United Kingdom,GBR,2019,13
United States,USA,2019,14
Uruguay,URY,2019,16
Uzbekistan,UZB,2019,152
Vanuatu,VUT,2019,260
Venezuela,VEN,2019,38
Vietnam,VNM,2019,103
World,OWID_WRL,2019,104
Yemen,YEM,2019,186
Zambia,ZMB,2019,174
Zimbabwe,ZWE,2019,190
