order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD362819,ID0746912634,2019-09-26,Nickolson,"[('Lucent 330S', 1), ('pearTV', 2)]",13850.0,,-37.8257466,144.9844918,5,13251.5,Spring,True,1.5361,phone does not work!! when anyone calls me they can not hear anything i am saying!! i have to send this phone back. i can't use it if no one can hear me!!,0.0
ORD408034,ID0714681789,2019-07-15,Nickolson,"[('iAssist Line', 2), ('Toshika 750', 2), ('Olivia x460', 1), ('iStream', 1)]",14465.0,78.43,-37.8121635,144.9737165,0,14543.43,Winter,True,0.8042,the user was very happy with it fingerprint reader didn't work. the battery life was terrible over time. never used the face recognition. it was a gift and the person i gave it to was very happy to have it.,1.0
ORD160386,ID3222703103,2019-06-09,Thompson,"[('Alcon 10', 1), ('iStream', 2), ('Candle Inferno', 1), ('Universe Note', 2)]",16580.0,66.91,-37.8028864,144.9508198,25,12501.91,Winter,False,1.1383,five stars nice phone,1.0
ORD081116,ID0597547574,2019-01-23,Nickolson,"[('Alcon 10', 2), ('Lucent 330S', 1), ('Olivia x460', 2), ('Toshika 750', 1)]",25900.0,55.34,-37.8150387,144.9642269,0,25955.34,Summer,False,0.6131,"this phone is crap. this phone is crap. doesn't get good reception and the speakerphone is useless. serves me right for straying from lg. lucentrola is a joke. avoid this phone, you'll be sorry if you don't.",0.0
ORD410953,ID2180785611,2019-11-13,Nickolson,"[('iStream', 2), ('Candle Inferno', 1), ('Olivia x460', 1), ('pearTV', 2)]",14575.0,73.96,-37.8148306,144.9689365,25,11005.21,Spring,False,0.4225,"great buy phone came, no scratches and unlocked. seems to be working fine so far",1.0
ORD145382,ID2841675052,2019-01-29,Nickolson,"[('Toshika 750', 1), ('iStream', 2)]",4620.0,79.71,-37.8089313,144.9658354,25,3544.71,Summer,True,1.1243,very bad the product came defected,0.0
ORD179418,ID0580000526,2019-03-31,Thompson,"[('Thunder line', 1), ('Toshika 750', 2), ('pearTV', 2), ('iAssist Line', 1)]",25665.0,68.89,-37.8054152,144.929605,25,19317.64,Autumn,False,1.7354,perfect phone so fast delivery... it’s amazing phone,1.0
ORD122517,ID0387152965,2019-12-28,Thompson,"[('Alcon 10', 1), ('Toshika 750', 1), ('Thunder line', 2), ('Olivia x460', 1)]",18855.0,100.48,-37.7990065,144.95024750000005,25,14241.73,Summer,True,1.5468,good value for the money. latest o.s . nice value for the money. unlocked and android 9.0 o.s. this is a good buy. i'm definitely pleased with the sleek design .,1.0
ORD132747,ID0250933593,2019-05-28,Bakers,"[('Thunder line', 1), ('iAssist Line', 1), ('Lucent 330S', 2)]",6865.0,69.23,-37.8228222,145.00455730000004,25,5217.98,Autumn,False,1.6465,overall its a good phone. sprint was on this pbone and it interfered with updating apps... so i returned it.,1.0
ORD009224,ID1879021164,2019-01-01,Nickolson,"[('Lucent 330S', 2), ('Candle Inferno', 2), ('Toshika 750', 1), ('pearTV', 1)]",13950.0,79.78,-37.8157329,144.9822677,5,13332.28,Summer,True,1.1628,"warning everyone!!!! don't buy this phone!!!! broke 2 days after buying it. sound has issues. i can't talk on regular phone, i have to always use speaker. all sound apps including youtube you can't hear, volume is all the way up. what phone i ever owned. do not buy.",0.0
ORD328444,ID0575374776,2019-12-03,Nickolson,"[('pearTV', 2), ('Toshika 750', 2), ('Universe Note', 2)]",28160.0,96.39,-37.8195276,144.98417890000005,10,25440.39,Summer,True,1.2905,mmm if you are going to spend good money i assure you that it is not a good option,1.0
ORD248209,ID0746341037,2019-01-29,Bakers,"[('Olivia x460', 1), ('Candle Inferno', 2), ('Alcon 10', 1), ('Universe Note', 1)]",14485.0,71.71,-37.8032806,144.9970679,15,12383.96,Summer,False,0.7648,true smart phone i love the phone. its fast and it performs all the tasks i need without any issues. would recommend it.,1.0
ORD067319,ID6167440984,2019-06-07,Nickolson,"[('Candle Inferno', 1), ('Olivia x460', 1), ('Lucent 330S', 2)]",4115.0,60.55,-37.814937,144.96334,5,3969.8,Winter,True,0.6813,this product is not as described!!! this phone runs hot when doing simple little tasks! i am not happy at all!!!,0.0
ORD132065,ID0777737977,2019-10-26,Thompson,"[('Lucent 330S', 2), ('Candle Inferno', 2)]",3320.0,103.86,-37.804923,144.95602780000004,5,3257.86,Spring,True,1.1684,works like a charm i bought this for my dad & so far it works like a charm.,1.0
ORD129634,ID0519816212,2019-01-07,Thompson,"[('Universe Note', 2), ('Alcon 10', 1), ('Lucent 330S', 2)]",18310.0,103.84,-37.8275232,144.95117240000005,0,18413.84,Summer,True,1.692,"impecable todo en perfecto estado, todos los sellos necesarios para garantizar la legitimidad del producto; estoy muy satisfthunder con esta compra.",
ORD336157,ID0582798766,2019-03-25,Nickolson,"[('Universe Note', 2), ('Alcon 10', 2)]",24800.0,66.69,-37.823493,144.980533,0,24866.69,Autumn,False,1.109,cool,1.0
ORD424160,ID0255061153,2019-05-08,Nickolson,"[('Olivia x460', 1), ('iStream', 2), ('Candle Inferno', 1)]",,82.18,-37.8088814,144.9711115,25,,Autumn,True,1.09,clear pictures it's a nice phone,1.0
ORD187102,ID0566892219,2019-07-05,,"[('Lucent 330S', 1), ('Candle Inferno', 1), ('Universe Note', 2)]",8560.0,68.58,-37.80535620000001,144.9703744,10,7772.58,Winter,False,,"good value, sleek design, android phone looks like a really classy one. for the price, it works just like a charm. mid-tier phone packed with sleek design. will buy xiaomi again",1.0
ORD339945,ID0624924255,2019-07-02,Nickolson,"[('iStream', 1), ('Thunder line', 1), ('Universe Note', 2)]",9230.0,76.15,-37.819508,144.958246,5,8844.65,Winter,True,0.9993,very competitive price - unit works well we like color and size,
ORD235403,ID6167266589,2019-10-05,Nickolson,"[('Thunder line', 2), ('Olivia x460', 1)]",5585.0,79.25,-37.81066120000001,144.96445409999995,10,5105.75,Spring,False,0.9904,"head seat hi.. i would like to ask there is no free head seat for this cellphone, actually the cellphone so nice and fast but only thing is no free head seat inside the box. i ask asking if this cellphone have no head seat including because base on the package are including. thank you",1.0
ORD056843,ID1613800606,2019-12-06,Bakers,"[('Thunder line', 1), ('Toshika 750', 2), ('Lucent 330S', 1)]",12050.0,75.85,-37.7999068,145.0000316,5,11523.35,Summer,False,1.1998,it is so good so good i love it works were ever u ... it is so good so good i love it works were ever u sit in ur house so good,1.0
ORD085833,ID0711331508,2019-03-29,Thompson,"[('iStream', 2), ('Universe Note', 2), ('Olivia x460', 1)]",8425.0,65.68,-37.8072938,144.9564787,10,7648.18,Autumn,False,1.0215,the phone is great well pleased with the phone,1.0
ORD351381,ID2189145409,2019-12-01,Thompson,"[('Candle Inferno', 2), ('iAssist Line', 1), ('Lucent 330S', 1)]",4315.0,79.38,-37.8106426,144.9560066,25,3315.63,Summer,True,0.8179,i get frustrated with this alot. i like being able to speak commands but she never seems to know much even though we add skills to her. she is always saying she doesnt know that. the speaker is not the quality that i would expect for the price.,
ORD259811,ID0332152660,2019-03-06,Nickolson,"[('pearTV', 1), ('Olivia x460', 1), ('Universe Note', 2), ('iStream', 2)]",14735.0,83.56,-37.806874,144.9782069,0,14818.56,Autumn,True,1.5106,five stars it's up and running nicely,1.0
ORD387300,ID1905004354,2019-03-30,Nickolson,"[('Olivia x460', 1), ('pearTV', 1), ('iStream', 2), ('Candle Inferno', 1)]",8265.0,46.84,-37.8198488,144.9683212,25,6245.59,Autumn,False,0.1766,the screen is horrible 720p on 1080p screen. no thanks,0.0
ORD464437,ID0580000017,2019-08-07,Thompson,"[('Toshika 750', 1), ('Olivia x460', 1)]",5545.0,81.73,-37.8055815,144.93152680000003,25,4240.48,Winter,True,1.5785,i love it and it's just as advertised i have no problems yet i have not activated it with a service yet but i will activate it with at&t. i have started downloading all the apps that i want and i have not had a single problem with it.,1.0
ORD184015,ID0441996193,2019-02-09,Bakers,"[('iStream', 2), ('pearTV', 2)]",12920.0,97.34,-37.8210294,145.0008476,15,11079.34,Summer,True,1.3238,"great phone it's an amazing phone, probably the best budget to mid-range phone currently on the market. four gigs of ram, 64 gigs of storage space, and a huge battery, it all makes a big difference.",1.0
ORD306672,ID0591219529,2019-11-09,Thompson,"[('Alcon 10', 1), ('Toshika 750', 2), ('Olivia x460', 1), ('iStream', 1)]",18965.0,105.74,-37.8243735,144.9472708,25,14329.49,Spring,True,1.3026,five stars very happy. product was just as described.,1.0
ORD494764,ID0571731076,2019-07-08,Thompson,"[('Olivia x460', 1), ('Universe Note', 2)]",8125.0,53.88,-37.8241208,144.9439195,10,7366.38,Winter,False,1.3041,no sim card............. i haven't gotten my phone to work yet. the content of the box indicates there should be a pre-installed sim card. there was no sim card or the sim tray pin included with the phone. so disappointing.,0.0
ORD185357,ID5797758271,2019-11-17,Thompson,"[('Alcon 10', 2), ('Candle Inferno', 1), ('iStream', 1)]",18480.0,75.18,-37.8069983,144.944716,25,13935.18,Spring,False,0.6647,great phone in a great price ! i’ve bought this phone for my sister and she loves it!!,1.0
ORD174254,ID6167344603,2019-02-23,Nickolson,"[('iStream', 2), ('iAssist Line', 2), ('Alcon 10', 2)]",22650.0,,-37.8100153,144.9697785,15,19313.16,Summer,False,0.9553,did not work did not work when i received it. i tried to contact the sender with no reply,0.0
ORD211476,ID3121574834,2019-04-21,Bakers,"[('iAssist Line', 1), ('pearTV', 2), ('Alcon 10', 1), ('Thunder line', 1)]",25975.0,64.76,-37.8041864,144.9965002,0,26039.76,Autumn,False,0.6563,five stars love it.,1.0
ORD477416,ID5002595104,2019-08-23,Thompson,"[('Toshika 750', 2), ('Universe Note', 1), ('pearTV', 2), ('iStream', 1)]",24860.0,76.48,-37.8121918,144.9531932,15,21207.48,Winter,True,0.5412,really nice phone this phone works very well,1.0
ORD393934,ID4719566468,2019-05-20,Nickolson,"[('Olivia x460', 1), ('Thunder line', 2), ('Lucent 330S', 2)]",8045.0,82.46,-37.8039658,144.96410730000005,0,8127.46,Autumn,True,1.6974,"no complaints at all had the phone a few months. though i was happy with it the first week i got it, i wanted to wait a while to see if any problems came to the surface. nothing has. the phone is in excellent condition, came on time, and i have no complaints. very happy with purchase.",1.0
ORD231866,ID0168408598,2019-12-12,,"[('Toshika 750', 2), ('Universe Note', 2), ('iStream', 1), ('pearTV', 1)]",22000.0,96.85,-37.8120045,144.9602759,15,18796.85,Summer,True,,great item great item,1.0
ORD149196,ID0612726025,2019-07-11,Nickolson,"[('pearTV', 1), ('Toshika 750', 1), ('Thunder line', 2)]",14990.0,76.56,-37.8150351,144.961763,25,11319.06,Winter,True,0.7912,"all good the phone was new, shipped fast and was exaclty what i though it would be. i really love the phone and it has been working great for me.",1.0
