order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD079197,ID0294624680,2019-10-18,Nickolson,"[('Toshika 750', 2), ('Lucent 330S', 2), ('Universe Note', 2)]",18000,75.16,-37.8194034,144.9631209,10,16275.16,Spring,False,0.5725,"overall very good it's kinda glitchy sometimes with apps and i'm a little worried about the charging port. but hey, that's what the insurance is for! overall i'm pretty satisfied. consider that a new phone is like double to triple this so it's not a bad deal",True
ORD226745,ID3153810250,2019-01-07,Nickolson,"[('Alcon 10', 1), ('iAssist Line', 1)]",11175,79.26,-37.8087352,144.9614458,25,8460.51,Summer,False,1.3087,one of the best deal nice phone,True
ORD247718,ID6167359485,2019-03-15,Nickolson,"[('Lucent 330S', 1), ('iAssist Line', 1), ('Thunder line', 1), ('Candle Inferno', 2)]",6495,65.69,-37.812877,144.9740492,25,4936.94,Autumn,True,0.7494,one star it wouldn't work with my husband sim card,False
ORD084822,ID0298045603,2019-07-06,Nickolson,"[('pearTV', 1), ('Thunder line', 1), ('Toshika 750', 1), ('Candle Inferno', 2)]",13670,74.93,-37.8259453,144.9621415,15,11694.43,Winter,True,1.0459,"great phone great price this is my first smartphone and i have been extremely pleased with how well it functions, how easy it has been to learn to use it (well, after a friend helped me set it up). great phone at great price.",True
ORD320421,ID0207085423,2019-03-11,Bakers,"[('iAssist Line', 2), ('Alcon 10', 1), ('Candle Inferno', 2), ('Toshika 750', 1)]",18580,84.19,-37.8108562,145.01558300000005,0,18664.19,Autumn,True,1.7923,i love my toshika's each toshika is different and although this one is too big for my hands it's my favorite to date.,True
ORD344081,ID3804564097,2019-01-03,Bakers,"[('Alcon 10', 2), ('Olivia x460', 2), ('Candle Inferno', 2)]",21210,79.67,-37.82048220000001,144.99480559999995,25,15987.17,Summer,True,1.1679,one star i cheated the box came empty. my money back,False
ORD084624,ID6167344504,2019-10-13,Nickolson,"[('Candle Inferno', 2), ('Universe Note', 2)]",7760,103.32,-37.8071015,144.9659105,0,7863.32,Spring,True,1.3189,great phone loved this phone.,True
ORD218324,ID5402876141,2019-06-30,Nickolson,"[('Olivia x460', 1), ('iStream', 1), ('Universe Note', 2)]",8275,76.62,-37.8197781,144.9767491,5,7937.87,Winter,True,0.6465,"the phone is awesome and recommended strongly the phone is awesome and recommended strongly, best of android phones, however the digico price is expensive as it cost $500 in our local market + 2yrs warranty, i suggest that digico to revise the price specially that they sell it without 2yrs warranty.",True
ORD334936,ID3218226979,2019-09-02,Thompson,"[('Toshika 750', 2), ('pearTV', 2)]",21260,100.75,-37.8076183,144.945192,10,19234.75,Spring,True,0.5864,lucentrola g phones are best bang for buck this phone is amazing. the right size and weight all the specs you could want from a flagship phone at 1/3 of the price.,True
ORD388011,ID0844490764,2019-11-09,Thompson,"[('Candle Inferno', 1), ('Olivia x460', 2), ('Lucent 330S', 1)]",4110,77.38,-37.8205969,144.9488156,25,3159.88,Spring,False,0.8953,easy access to my digico account. easy to set up and use.,True
ORD228339,ID3072718448,2019-05-15,Nickolson,"[('iAssist Line', 2), ('Lucent 330S', 1)]",5680,52.25,-37.8252348,144.9567953,5,5448.25,Autumn,False,1.3433,instructions no english instructions were in the box------pitiful!!!,False
