scaler,lambdas,mean_R2,std_R2,mean_RMSE,std_RMSE
zscore,"(0.5, 0.0, 1.0, -0.5, 1.0)",0.6704104219788771,0.10829523195136556,267191.00592368323,49521.262701889646
robust,"(0.5, 0.0, 1.0, -0.5, 1.0)",0.670410421978877,0.10829523195136621,267191.0059236833,49521.26270188988
minmax,"(0.5, 0.0, 1.0, -0.5, 1.0)",0.6704104219788768,0.10829523195136612,267191.00592368335,49521.262701889864
minmax,"(0.5, 0.0, 1.0, -1.0, 1.0)",0.6701631103525693,0.10799324406862085,267307.839958214,49391.29351280106
zscore,"(0.5, 0.0, 1.0, -1.0, 1.0)",0.6701631103525685,0.1079932440686207,267307.8399582143,49391.29351280095
robust,"(0.5, 0.0, 1.0, -1.0, 1.0)",0.6701631103525681,0.10799324406862121,267307.83995821443,49391.293512801145
minmax,"(0.5, 0.0, 1.0, 0.0, 1.0)",0.6698391178687292,0.10913267451707838,267386.9302957106,49819.830829261795
robust,"(0.5, 0.0, 1.0, 0.0, 1.0)",0.6698391178687287,0.1091326745170786,267386.93029571074,49819.830829261846
zscore,"(0.5, 0.0, 1.0, 0.0, 1.0)",0.6698391178687286,0.1091326745170785,267386.93029571074,49819.83082926181
robust,"(0.5, 0.0, 1.0, 0.5, 1.0)",0.6686264927933007,0.11036263697434553,267828.7081616977,50238.88935846882
minmax,"(0.5, 0.0, 1.0, 0.5, 1.0)",0.6686264927933007,0.11036263697434556,267828.70816169766,50238.88935846882
zscore,"(0.5, 0.0, 1.0, 0.5, 1.0)",0.6686264927933004,0.1103626369743457,267828.7081616978,50238.88935846884
robust,"(0.5, 0.0, 1.0, 1.0, 1.0)",0.666923694056048,0.11185490401059969,268459.26379054884,50734.097695761375
minmax,"(0.5, 0.0, 1.0, 1.0, 1.0)",0.666923694056048,0.11185490401059996,268459.2637905488,50734.097695761484
zscore,"(0.5, 0.0, 1.0, 1.0, 1.0)",0.6669236940560479,0.11185490401059982,268459.26379054884,50734.09769576146
minmax,"(1.0, -0.5, 1.0, 0.0, 1.0)",0.665191222350263,0.0949839164848561,270063.53439959284,44039.42102305806
zscore,"(1.0, -0.5, 1.0, 0.0, 1.0)",0.6651912223502627,0.09498391648485635,270063.53439959284,44039.421023058145
robust,"(1.0, -0.5, 1.0, 0.0, 1.0)",0.6651912223502624,0.09498391648485667,270063.53439959296,44039.42102305825
